country,sender nationality,reciever nationality,debit,credit
OM,IN,OM,4.22,0.0
OM,IN,OM,9.0,0.0
OM,IN,OM,10.32,0.0
NL,IN,NL,6.2,0.0
OM,IN,OM,2.45,0.0
OM,JO,OM,3.67,0.0
OM,OM,OM,3.63,0.0
OM,IR,OM,6.76,0.0
OM,IR,OM,4.41,0.0
OM,EG,OM,5.0,0.0
OM,OM,OM,13.0,0.0
OM,OM,OM,2.52,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,2.61,0.0
OM,IN,OM,0.63,0.0
OM,IN,OM,11.55,0.0
OM,OM,OM,2.99,0.0
OM,OM,OM,3.76,0.0
AE,OM,AE,31.88,0.0
AE,OM,AE,18.19,0.0
OM,OM,OM,24.25,0.0
OM,OM,OM,0.8,0.0
OM,OM,OM,35.0,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,34.39,0.0
OM,LB,OM,2.12,0.0
OM,OM,OM,3.59,0.0
OM,OM,OM,4.68,0.0
OM,OM,OM,3.24,0.0
OM,KW,OM,3.44,0.0
OM,KW,OM,10.25,0.0
OM,KW,OM,16.0,0.0
OM,PK,OM,4.47,0.0
OM,PK,OM,2.8,0.0
OM,PK,OM,2.2,0.0
OM,PK,OM,1.99,0.0
OM,OM,OM,15.9,0.0
GB,OM,GB,0.87,0.0
GB,OM,GB,1.73,0.0
GB,OM,GB,1.46,0.0
GB,OM,GB,3.19,0.0
OM,OM,OM,2.52,0.0
OM,OM,OM,126.75,0.0
OM,OM,OM,1.5,0.0
OM,LB,OM,14.41,0.0
OM,LB,OM,2.23,0.0
OM,LB,OM,6.7,0.0
OM,IN,OM,10.4,0.0
AE,IN,AE,1.6,0.0
OM,JO,OM,1.0,0.0
OM,OM,OM,6.21,0.0
OM,OM,OM,14.0,0.0
OM,OM,OM,69.8,0.0
OM,EG,OM,1.8,0.0
OM,OM,OM,18.0,0.0
OM,OM,OM,9.3,0.0
OM,OM,OM,2.0,0.0
OM,IN,OM,14.1,0.0
OM,IN,OM,3.2,0.0
OM,IN,OM,2.1,0.0
OM,IN,OM,3.04,0.0
OM,IN,OM,10.61,0.0
OM,IN,OM,3.86,0.0
OM,IN,OM,3.15,0.0
GB,JO,GB,4.0,0.0
OM,PH,OM,51.0,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,OM,OM,148.0,0.0
OM,JO,OM,15.5,0.0
OM,JO,OM,29.55,0.0
OM,EG,OM,19.71,0.0
DE,DE,DE,49.23,0.0
FR,DE,FR,42.15,0.0
OM,OM,OM,5.7,0.0
OM,OM,OM,19.0,0.0
EG,OM,EG,0.72,0.0
US,OM,US,410.57,0.0
US,OM,US,35.34,0.0
OM,OM,OM,3.15,0.0
OM,OM,OM,5.7,0.0
OM,OM,OM,3.76,0.0
TR,OM,TR,4.36,0.0
